bookId,chapterId,verseId,verseText
1,1,1,  princípio deus criou céu terra  
1,1,2,  terra vazia treva face abismo espírito deus movia água  
1,1,3,  deus luz luz  
1,1,4,  deus viu luz boa fez separação luz treva  
1,1,5,  deus chamou luz dia chamou treva noite manhã dia  
1,1,6,  deus firmamento água separação água água  
1,1,7,  deus fez firmamento separação água firmamento água firmamento aconteceu  
1,1,8,  deus chamou firmamento céu manhã dia  
1,1,9,  deus ajuntemse água céu lugar apareça porção seca aconteceu  
1,1,10,  deus chamou porção seca terra ajuntamento água chamou mares deus viu bom  
1,1,11,  deus terra produza relva erva deem semente árvore frutífera deem fruto espécie cuja semente fruto terra aconteceu  
1,1,12,  terra produziu relva erva davam semente espécie árvore davam fruto cuja semente nele conforme espécie deus viu bom  
1,1,13,  manhã terceiro dia  
1,1,14,  deus luzeiros firmamento céu fazerem separação dia noite sinai estações dia ano  
1,1,15,  sirvam luzeiros firmamento céu iluminar terra aconteceu  
1,1,16,  deus fez dois luzeiros maior governar dia menor governar noite fez estrela  
1,1,17,  colocou firmamento céu iluminarem terra  
1,1,18,  governarem dia noite fazerem separação luz treva deus viu bom  
1,1,19,  manhã quarto dia  
1,1,20,  deus água povoada enxame seres vivo ave voem terra firmamento céu  
1,1,21,  deus criou criatura marinha seres vivo movem povoam água espécie ave espécie deus viu bom  
1,1,22,  deus abençoou fecundo multipliquemse encham água mares terra multipliquem ave  
1,1,23,  manhã quinto dia  
1,1,24,  deus terra produza seres vivo conforme espécie animais doméstico animais rastejam animais selvagens espécie aconteceu  
1,1,25,  deus fez animais selvagens espécie animais doméstico conforme espécie animais rastejam terra espécie deus viu bom  
1,1,26,  deus façamos humano imagem conforme semelhança domínio peixe mar ave céu animais doméstico terra animais rastejam terra  
1,1,27,  deus criou humano imagem imagem deus criou homem mulher criou  
1,1,28,  deus abençoou fecundo multipliquemse encham terra sujeitemna domínio peixe mar ave céu animal rasteja terra  
1,1,29,  deus dado erva dão semente acham superfície terra árvore fruto dê semente servirá alimento  
1,1,30,  animais terra ave céu animais rastejam terra fôlego vida erva verde servirá alimento aconteceu  
1,1,31,  deus viu que bom manhã sexto dia  
1,2,1,  acabado céu terra nele  
1,2,2,  haver deus terminado sétimo dia obra descansou nesse dia obra  
1,2,3,  deus abençoou sétimo dia santificou nele descansou obra criador  
1,2,4,  gênese céu terra criado senhor deus criou  
1,2,5,  planta campo terra erva campo brotado senhor deus chover terra cultivar solo  
1,2,6,  neblina subia terra regava superfície solo  
1,2,7,  senhor deus formou homem pó terra soprou narinas fôlego vida homem tornou vivente  
1,2,8,  senhor deus plantou jardim éden direção oriente pôs nele homem formado  
1,2,9,  solo senhor deus fez brotar tipo árvore agradáveis vista boa alimento árvore vida jardim árvore conhecimento  
1,2,10,  rio saía éden regar jardim dividia repartindose quatro braço  
1,2,11,  nome pisom rodeia terra havilá ouro  
1,2,12,  ouro terra bom encontram bdélio pedra ônix  
1,2,13,  nome rio giom rodeia terra cuxe  
1,2,14,  nome terceiro rio tigre corre leste assíria quarto rio eufrates  
1,2,15,  senhor deus tomou homem colocou jardim éden cultivar guardar  
1,2,16,  senhor deus ordenou homem árvore jardim comer  
1,2,17,  árvore conhecimento comer dia comer morrerá  
1,2,18,  senhor deus bom homem farei auxiliadora semelhante  
1,2,19,  haver senhor deus formado terra animais campo ave céu trouxeos adão nome daria nome seres vivo nome  
1,2,20,  homem deu nome animais doméstico ave céu animais selvagens homem achava auxiliadora semelhante  
1,2,21,  senhor deus fez cair pesado sono homem adormeceu tiroulhe costela fechou lugar carne  
1,2,22,  costela tirado homem senhor deus formou mulher levou  
1,2,23,  homem osso osso carne carne chamada varoa varão tirada  
1,2,24,  homem deixa pai mãe une mulher tornandose dois carne  
1,2,25,  homem mulher nu envergonhavam  
1,3,1,  serpente astuta animais selvagens senhor deus mulher verdade deus comam fruto árvore jardim  
1,3,2,  mulher respondeu serpente fruto árvore jardim podemos comer  
1,3,3,  fruto árvore jardim deus comer tocar nele venham morrer  
1,3,4,  serpente mulher morrerão  
1,3,5,  deus dia comerem olho abrirão deus conhecedores  
